EPICC_C531_C1_G1_D1	ExonicOnly	Inf	NaN	Inf	2	0.854025444713114	0.380691188347728	1.91588266617079	26	0	2	730419	0	359774	17	9367150	9	4235180			
EPICC_C531_C1_G2_D1	ExonicOnly	Inf	NaN	Inf	1	0.794203256165847	0.350960476984921	1.79723649708557	25	0	1	733089	0	357105	16	9402060	9	4200270			
EPICC_C531_C1_G4_D1	ExonicOnly	Inf	NaN	Inf	2	0.754794578716782	0.345618031414619	1.64839492083914	27	0	2	733641	0	356553	17	9419910	10	4182410			
EPICC_C531_C1_G7_D1	ExonicOnly	Inf	NaN	Inf	3	0.837621548964468	0.373378975701926	1.87908289388152	26	0	3	734471	0	355723	17	9423500	9	4178820			
EPICC_C531_D1_G7_D1	ExonicOnly	Inf	NaN	Inf	4	0.994760495354366	0.507626457932377	1.94936398848826	41	0	4	752763	0	337431	29	9635930	12	3966390			
EPICC_C532_C1_G6_D1	ExonicOnly	Inf	NaN	Inf	1	2.13575099749002	0.953761881244544	4.78257081702635	45	0	1	745605	0	298403	38	9930640	7	3906990			
EPICC_C536_B1_G1_D1	ExonicOnly	1.35369194633696	0.704347057094211	2.6016832399832	48	0.988014095521342	0.815467686917006	1.1970702538523	488	0.00203812204949939	36	736969	12	332543	337	9524720	151	4216600			
EPICC_C536_B1_G9_D1	ExonicOnly	1.47865677355248	0.75269771942562	2.90479564329868	47	0.951821523316913	0.786663668442365	1.1516541157279	488	6.66666341724172e-05	36	736674	11	332838	333	9522480	155	4218840			
EPICC_C536_C1_B1_D1	ExonicOnly	0.959262709771277	0.529518294494651	1.73778317205895	50	1.03803461343154	0.857910673415707	1.25597707969672	504	0.794080310095826	34	736874	16	332638	353	9515940	151	4225380			
EPICC_C536_D1_G1_D1	ExonicOnly	1.0951764645004	0.587737205588054	2.04073425883808	48	1.0794659885569	0.888502295802543	1.31147340087974	491	0.3661249542751	34	737109	14	332403	348	9518960	143	4222360			
EPICC_C536_F1_B2_D1	ExonicOnly	Inf	NaN	Inf	1	0.877941720914448	0.378887001780977	2.03433183742226	25	0	1	748665	0	320846	17	9723900	8	4017420			
EPICC_C537_B1_G7_D1	ExonicOnly	Inf	NaN	Inf	1	0.585922111285268	0.20329671504452	1.68868845047522	14	0	1	599391	0	268711	8	9295570	6	4084860			
EPICC_C537_C1_G10_D1	ExonicOnly	Inf	NaN	Inf	1	0.486637894513874	0.163543277438556	1.44803573820289	13	0	1	616052	0	252050	7	9442000	6	3938430			
EPICC_C537_C1_G1_D1	ExonicOnly	Inf	NaN	Inf	1	0.41665307937449	0.146143728207749	1.18787061304472	14	0	1	614947	0	253155	7	9445100	7	3935330			
EPICC_C537_D1_G1_D1	ExonicOnly	Inf	NaN	Inf	1	0.866640172164276	0.260961914999147	2.87806517070655	12	0	1	604160	0	263942	8	9335270	4	4045160			
