ID rate coverage ON_dnds ON_lowci ON_highci ON_muts OFF_dnds OFF_lowci OFF_highci OFF_muts Pval ON_na ON_NA ON_ns ON_NS OFF_na OFF_NA OFF_ns OFF_NS 	 
MAYA_286 ssb192.PatEsp ExonicOnly 0.868527433696213 0.418839606236431 1.80103143354529 36 1.22621379418305 1.00170922510306 1.50103522557546 565 0.281719773633621 26 886337 10 296080 446 10972400 119 3589880 	 
MAYA_286 ssb7.PatEsp ExonicOnly 0.907670174017604 0.43771622462076 1.88219887335613 36 1.25224290780506 1.02297293195858 1.53289775456826 565 0.360728051128188 26 800034 10 279295 446 10242500 119 3422210 	 
MAYA_314 ssb192.PatEsp ExonicOnly 0.450505771317877 0.191328838283931 1.06077021728207 21 0.756687468364013 0.592259920005978 0.966764803127893 272 0.138777073489914 10 854815 11 423609 169 11132400 103 5134000 	 
MAYA_314 ssb7.PatEsp ExonicOnly 0.524565818729741 0.222782236779748 1.23515192441746 21 0.856873230579065 0.670675612790416 1.09476454690795 272 0.178606983681046 10 661009 11 381417 169 8951560 103 4674830 	 
MAYA_354 ssb192.PatEsp ExonicOnly 0.433856666125245 0.167390814641845 1.12450644268634 17 1.34101092629164 0.825979606260325 2.17718535339354 95 0.369980127120678 9 1354460 8 522348 74 14764300 21 5618660 	 
MAYA_354 ssb7.PatEsp ExonicOnly 0.541366853435565 0.208870869479232 1.40315799589003 17 1.58516266730928 0.976362311191781 2.57357468574568 95 0.409315144954678 9 830795 8 399791 74 9508730 21 4277440 	 
MAYA_503 ssb192.PatEsp ExonicOnly 0.669682535783782 0.316306333718976 1.41785486614846 29 0.480844818218353 0.399831182157064 0.578273556382181 453 1e-04 18 729133 11 298398 240 10275600 213 4385110 	 
MAYA_503 ssb7.PatEsp ExonicOnly 0.70799261616357 0.334401391491887 1.49896379332112 29 0.483122133804674 0.401724923715389 0.581012150300565 453 1e-04 18 646375 11 279662 240 9482500 213 4065820 	 
MAYA_52 ssb192.PatEsp ExonicOnly 0.584061206531304 0.139578704354062 2.44398688855385 8 0.880519996116627 0.571674316498443 1.35621915147632 100 0.861308530763187 5 1227320 3 430098 71 14313900 29 5147980 	 
MAYA_52 ssb7.PatEsp ExonicOnly 0.638827402373675 0.152666952779295 2.67315245879123 8 0.912470120041127 0.592418102064334 1.40542970550691 100 0.801048353714925 5 825836 3 316540 71 10054600 29 3747340 	 
